label,sample
artist_name,ToastedForOnce-Archived
artist_name,Mario Boronat
artist_name,Dave Acklin
artist_name,Dean Martin
artist_name,REBEL SONGBIRD
artist_name,Lewis Capaldi
artist_name,DarthSeptic
artist_name,Antonio Carlos Jobim, Frank Sinatra
artist_name,Astrud Gilberto
artist_name,clacer cabeza
artist_name,The_Ramdom_Cheese
artist_name,seucrispa
artist_name,NeftyN3f
artist_name,CUBANCASH77
artist_name,Elis Regina, Antonio Carlos Jobim
artist_name,Barbara Pellegatta
artist_name,Gladiator GTS
artist_name,Jul 12, 2022, Roots Music History Podcast
artist_name,Tony Bennett, Count Basie Orchestra
artist_name,JennyMusic
artist_name,Ralulafo
artist_name,Shozab Hussain
artist_name,Top 10 Male Vocalists
artist_name,lrh1966
artist_name,Johnny Cash, George Jones
artist_name,Hank Hamm
artist_name,John Denver
artist_name,Brenda Lee
artist_name,JC Videos
artist_name,ItsWaldo (Walter Brinkman)
artist_name,Olly Alexander (Years & Years)
artist_name,Count Basie and His Orchestra
artist_name,Andy Williams
artist_name,Vinícius de Moraes
artist_name,The Highwaymen, Willie Nelson, Johnny Cash, Waylon Jennings
artist_name,Beny 81
artist_name,James Vincent McMorrow
artist_name,Kortje Alexander
artist_name,Frankie Laine
artist_name,João GIlberto
artist_name,Thiago Ribeiro
artist_name,Stan Getz, Joao Gilberto
artist_name,Freedom Fry
artist_name,BoxTube
artist_name,Miúcha, Antonio Carlos Jobim
artist_name,Sérgio Augusto
artist_name,CashFan
artist_name,Joe Raymond
artist_name,Mandy Lee, Boyce Avenue
artist_name,jannnoify
artist_name,Burl Ives
artist_name,SuperBluecountry
artist_name,Aryel Sharon
artist_name,archived
artist_name,You.me.oui.!
artist_name,FromTheBasement
artist_name,Lady Gaga
artist_name,onemediamusic
artist_name,TheBadassRockola
artist_name,Jun 18, 2023, Cow Vibing
artist_name,Kilo2199
artist_name,Fbgprey
artist_name,MssKathy16
artist_name,CountryQueen4Ever
artist_name,Skylar Grey
artist_name,13jalopy
artist_name,Eddlicious
artist_name,AI COVERS
artist_name,Lykke Li
artist_name,João GIlberto, Stan Getz
artist_name,Angus & Julia Stone
artist_name,Mahogany Records
artist_name,Francis Hime
artist_name,prodbyluke
artist_name,VudiRoeller2000
artist_name,simon lövgren
artist_name,Johnny Cash Infocenter
artist_name,ZaCool27
artist_name,askimsuger
artist_name,jan novák
artist_name,joeybbbbbz
artist_name,Katie Melua
artist_name,Ryuma
artist_name,Mateusão
artist_name,Toquinho, Vinícius de Moraes
artist_name,MrSledge67
artist_name,Dan
artist_name,Johnny Cash, The Statler Brothers
artist_name,Verve Records
artist_name,Fuzzy Legends Archives
artist_name,Alan Walker, YUQI, JVKE
artist_name,The Highwaymen
artist_name,Joyce
artist_name,Sammy Davis Jr.
artist_name,the ai man
artist_name,Kip
artist_name,flipperdolfin
artist_name,John Maria Strong
artist_name,Bob Dylan
artist_name,Pavlo Ilnytskyy
artist_name,Roriloty
artist_name,Daniela Andrade
artist_name,Tena Aera
artist_name,Harry Connick Jr.
artist_name,Rick Hale
artist_name,William Fitzsimmons
artist_name,Kina Grannis
artist_name,Johnny Cash, Waylon Jennings
artist_name,Chill Out Sex Band
artist_name,Tomás Afoito
artist_name,Maurito Torment
artist_name,Louis Armstrong
artist_name,Paloma Faith
artist_name,Toquinho, Chico Buarque
artist_name,Juca Chaves
artist_name,Charlene Soraia
artist_name,Muchtutty
artist_name,Hankster601
artist_name,Michael Schulte
artist_name,Scoobis
artist_name,liberator
artist_name,Tvde1
artist_name,AURORA
artist_name,The Weeknd
artist_name,The Music Interlude
artist_name,GreenGreenGrasOfHome
artist_name,Zzivotije
artist_name,Adele
artist_name,Tom Baumruk
artist_name,Frank Sinatra, Julio Iglesias
artist_name,Adriano Ornelas
artist_name,fleetadmiral1
artist_name,socijalist81
artist_name,Ella Eyre
artist_name,Robert G. Fullarton
artist_name,derSafran
artist_name,Frank Sinatra, Count Basie
artist_name,Elvis Presley
artist_name,Bernardo Lobo
artist_name,Amy Cassidy
artist_name,Country Gospel
artist_name,Jalissa Murray
artist_name,Tom Jobim
artist_name,Billy Gibbons And The BFG's
artist_name,Sleeping At Last
artist_name,Bopper JR
artist_name,Emeli Sandé
artist_name,MeowCenter
artist_name,Tomi_C
artist_name,Lifeples
artist_name,Pixie Lott
artist_name,Rudy Doo
artist_name,MrReiskocher
artist_name,Undi46
artist_name,AlanPaladin
artist_name,Covers.ai
artist_name,Jenny & Tyler
artist_name,TheGlobetrotteuse14
artist_name,Jun 5, 2023, Meilleure musique
artist_name,Hard Rock
artist_name,Josef Salvat
artist_name,Mar 29, 2023, Elvis Presley and Roy Orbison Fans in the world
artist_name,ricdmt101
artist_name,TVG | Darivar ESCA
artist_name,Slow Moving Millie
artist_name,Elis Regina
artist_name,kneapoe51
artist_name,The RatPack
artist_name,titschyquitschy0008
artist_name,Country & Classics
artist_name,Daniel Soares
artist_name,Jess Glynne
artist_name,Parachutes
artist_name,rockero180
artist_name,gregbn
artist_name,Billy F Gibbons
artist_name,Nate Anim8
artist_name,Bing Crosby, Frank Sinatra, Nat King Cole
artist_name,Miúcha, Antônio Carlos Jobim
artist_name,Fãs do Vavá
artist_name,Frank Sinatra
artist_name,Sun Records
artist_name,Diabo Ousado
artist_name,Christopher Adames
artist_name,Vaughan Monroe
artist_name,Ella Fitzgerald
artist_name,The Riders
artist_name,MrNixa123
artist_name,Eddie Fisher
artist_name,Lifeples (AI Music)
artist_name,WolvesFanNo1
artist_name,oiyoo
artist_name,RAYLOWESWINGS
artist_name,Alice Lamb
